date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
3/3/2025,18467-2503031400--32695-0-10968-2503031640,economy,fastest,689.12,C$690,N/A,1031,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-03-03T14:00:00,2025-03-03T16:40:00,220,0,Air Canada,Air Canada,FALSE,FALSE,FALSE,FALSE,0.452919
3/3/2025,18467-2503031940--32695-0-10968-2503032222,economy,fastest,404.58,C$405,N/A,1033,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-03-03T19:40:00,2025-03-03T22:22:00,222,0,Air Canada,Air Canada,FALSE,FALSE,FALSE,FALSE,0.999
3/3/2025,18467-2503031400--32593-0-10968-2503031655,economy,fastest,517.98,C$518,N/A,4476,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-03-03T14:00:00,2025-03-03T16:55:00,235,0,Alaska Airlines,Envoy Air As American Eagle,FALSE,FALSE,FALSE,FALSE,0.684089
3/3/2025,18467-2503031730--32695-1-10968-2503032248,economy,fastest,412.56,C$413,N/A,4990,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-03-03T17:30:00,2025-03-03T18:39:00,129,1,Air Canada,Republic Airways DBA United Express,FALSE,FALSE,FALSE,FALSE,0.40761
3/3/2025,18467-2503031730--32695-1-10968-2503032248,economy,fastest,412.56,C$413,N/A,5521,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-03-03T19:55:00,2025-03-03T22:48:00,173,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.40761
3/3/2025,"18467-2503031925--31954,-31825-1-10968-2503040425",economy,fastest,205,C$205,N/A,655,Toronto Pearson International,N/A,Canada,Las Vegas Harry Reid International,N/A,United States,2025-03-03T19:25:00,2025-03-03T21:30:00,305,1,Porter Airlines (Canada) Ltd,Porter Airlines (Canada) Ltd,FALSE,FALSE,FALSE,FALSE,0.603397
3/3/2025,"18467-2503031925--31954,-31825-1-10968-2503040425",economy,fastest,205,C$205,N/A,582,Las Vegas Harry Reid International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-03-03T23:49:00,2025-03-04T04:25:00,156,1,Spirit Airlines,Spirit Airlines,FALSE,FALSE,FALSE,FALSE,0.603397
3/3/2025,"18467-2503031925--31954,-32289-1-10968-2503040545",economy,fastest,205,C$205,N/A,655,Toronto Pearson International,N/A,Canada,Las Vegas Harry Reid International,N/A,United States,2025-03-03T19:25:00,2025-03-03T21:30:00,305,1,Porter Airlines (Canada) Ltd,Porter Airlines (Canada) Ltd,FALSE,FALSE,FALSE,FALSE,0.393634
3/3/2025,"18467-2503031925--31954,-32289-1-10968-2503040545",economy,fastest,205,C$205,N/A,1650,Las Vegas Harry Reid International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-03-04T00:59:00,2025-03-04T05:45:00,166,1,Frontier Airlines,Frontier Airlines,FALSE,FALSE,FALSE,FALSE,0.393634
3/3/2025,"18467-2503032000--31679,-32289-1-10968-2503040935",economy,fastest,194,C$194,N/A,1166,Toronto Pearson International,N/A,Canada,Orlando International,N/A,United States,2025-03-03T20:00:00,2025-03-03T23:04:00,184,1,WestJet,WestJet,FALSE,FALSE,FALSE,FALSE,0.402167
